productId,name,supplier,price,category,tags
FUR-BO-10001798,Bush Somerset Collection Bookcase,Richardson Inc,261.96,Furniture,Bookcases
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Sanders Inc,731.94,Furniture,Chairs
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Kaiser and Sons,14.62,Office Supplies,Labels
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Watson-Fuller,957.5775,Furniture,Tables
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,"Brock, Harrison and Warren",22.368,Office Supplies,Storage
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","Taylor, Perez and Buchanan",48.86,Furniture,Furnishings
OFF-AR-10002833,Newell 322,"Williams, Smith and Jackson",7.28,Office Supplies,Art
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,"Singh, Miller and Golden",907.152,Technology,Phones
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Fuller-Garcia,18.504,Office Supplies,Binders
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,"Dickson, Jones and Arnold",114.9,Office Supplies,Appliances
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,"West, Mitchell and Moreno",1706.184,Furniture,Tables
TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,"Davis, French and Olsen",911.424,Technology,Phones
OFF-PA-10002365,Xerox 1967,Madden-Bailey,15.552,Office Supplies,Paper
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Higgins Inc,407.976,Office Supplies,Binders
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Anderson Inc,68.81,Office Supplies,Appliances
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Barnes and Sons,2.544,Office Supplies,Binders
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","Rasmussen, Orozco and Mueller",665.88,Office Supplies,Storage
OFF-ST-10000107,Fellowes Super Stor/Drawer,"Foley, Copeland and Colon",55.5,Office Supplies,Storage
OFF-AR-10003056,Newell 341,Mason-Davis,8.56,Office Supplies,Art
TEC-PH-10001949,Cisco SPA 501G IP Phone,Joseph and Sons,213.48,Technology,Phones
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Collins-Clay,22.72,Office Supplies,Binders
OFF-AR-10000246,Newell 318,"Waller, Townsend and Jones",19.46,Office Supplies,Art
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length","Barton, Durham and Moran",60.34,Office Supplies,Appliances
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray","Hanson, Smith and Christensen",71.372,Furniture,Chairs
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,"Acevedo, Bradley and Martinez",1044.63,Furniture,Tables
OFF-BI-10001634,Wilson Jones Active Use Binders,Martin-James,11.648,Office Supplies,Binders
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Cox-Estrada,90.57,Technology,Accessories
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","Nelson, Campbell and Fisher",3083.43,Furniture,Bookcases
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Smith LLC,9.618,Office Supplies,Binders
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Sims-Cardenas,124.2,Furniture,Furnishings
OFF-EN-10001509,Poly String Tie Envelopes,"Smith, Hurley and Stewart",3.264,Office Supplies,Envelopes
OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","Frazier, Ellis and Duncan",86.304,Office Supplies,Art
OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red","Davis, Garcia and Rowe",6.858,Office Supplies,Binders
OFF-AR-10001683,Lumber Crayons,Castillo PLC,15.76,Office Supplies,Art
OFF-PA-10000249,Easy-staple paper,Hart Inc,29.472,Office Supplies,Paper
TEC-PH-10004977,GE 30524EE4,Mccall-Rojas,1097.544,Technology,Phones
FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Brady-Burke,190.92,Furniture,Furnishings
OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Greer Ltd,113.328,Office Supplies,Envelopes
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","Warren, Navarro and Hall",532.3992,Furniture,Bookcases
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray","Carr, Maldonado and Wolfe",212.058,Furniture,Chairs
TEC-PH-10000486,Plantronics HL10 Handset Lifter,King PLC,371.168,Technology,Phones
TEC-PH-10004093,Panasonic Kx-TS550,Hartman PLC,147.168,Technology,Phones
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Brown-Davis,77.88,Office Supplies,Storage
OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers","Lucas, Turner and Martin",95.616,Office Supplies,Storage
TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Bird-Wilson,45.98,Technology,Accessories
OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Green LLC,17.46,Office Supplies,Binders
OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Robertson Inc,211.96,Office Supplies,Storage
TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,"Morrison, Huerta and Jordan",45.0,Technology,Accessories
TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite","Thomas, Miller and Nelson",21.8,Technology,Phones
OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Sparks-Ellis,38.22,Office Supplies,Binders
OFF-LA-10002762,Avery 485,Hernandez and Sons,75.18,Office Supplies,Labels
